GUID 5baa57e3360d4b95bb0e97aa6680b7b8
Currency 27e039ef60d54fc69714c72d2c9582ba
Type Vendor
ID 42823

Selling 8
// C-47 Skytrain
Selling_0_ID 19656
Selling_0_Cost 8

// Mustang
Selling_1_ID 19651
Selling_1_Cost 15

// P-38 
Selling_2_ID 19652
Selling_2_Cost 8

// P-36
Selling_3_ID 19650
Selling_3_Cost 5

// B-25
Selling_4_ID 19654
Selling_4_Cost 35

// Dauntless
Selling_5_ID 19653
Selling_5_Cost 20

// Boeing B-29 Superfortress
Selling_6_ID 24504
Selling_6_Cost 45

// P-39
Selling_7_ID 19655
Selling_7_Cost 25
