GUID 7e2c4f0827c049afa48e4923c943ae9c
Type Vendor
ID 32824

Selling 10
// Landing-craft
Selling_0_ID 28900
Selling_0_Cost 700
// Vehicle-landing-craft
Selling_1_ID 28901
Selling_1_Cost 500
// PT-boat
Selling_2_ID 6916
Selling_2_Cost 2500
// Fletcher-destroyer
Selling_3_ID 28910
Selling_3_Cost 5500
// DUKW
Selling_4_ID 6925
Selling_4_Cost 850
// USS-farragut
Selling_5_ID 6912
Selling_5_Cost 15000
// SBD-3
Selling_6_ID 28909
Selling_6_Cost 3500
// F4U-1c-Corsair
Selling_7_ID 6907
Selling_7_Cost 3000
// USS-Farragut-A
Selling_8_ID 6942
Selling_8_Cost 25000
// Gato-class-submarine
Selling_9_ID 28931
Selling_9_Cost 4000
