GUID ffd45d96e5cb4871a7917a2ad2d14619
Type Vendor
ID 32825

Buying 8
// Cooked-Goldfish
Buying_0_ID 1350
Buying_0_Cost 10
// Cooked-Minnow
Buying_1_ID 1348
Buying_1_Cost 15
// Cooked-Trout
Buying_2_ID 512
Buying_2_Cost 20
// Cooked-Salmon
Buying_3_ID 513
Buying_3_Cost 25
// Cooked-Bass
Buying_4_ID 1352
Buying_4_Cost 30
// Cooked-Beef
Buying_5_ID 1121
Buying_5_Cost 35
// Bacon
Buying_6_ID 1118
Buying_6_Cost 35
// Cooked-Venison
Buying_7_ID 515
Buying_7_Cost 40

Selling 10
// MRE
Selling_0_ID 81
Selling_0_Cost 150
// Botted-water
Selling_1_ID 14
Selling_1_Cost 55
// Canned-Beans
Selling_2_ID 13
Selling_2_Cost 50
// Canned-Soda
Selling_3_ID 465
Selling_3_Cost 55
// Canned-Cola
Selling_4_ID 80
Selling_4_Cost 55
// Canned-Bacon
Selling_5_ID 88
Selling_5_Cost 50
// Canned-Beef
Selling_6_ID 89
Selling_6_Cost 50
// Canned-Pasta
Selling_7_ID 87
Selling_7_Cost 50
// Canned-Ham
Selling_8_ID 469
Selling_8_Cost 50
// Canned-Sardines
Selling_9_ID 90
Selling_9_Cost 50
