GUID ddec0cb5498a40fab7f30fc790c1ee94
Type Vendor
ID 32826

Buying 7
// Loonie
Buying_0_ID 1056
Buying_0_Cost 10
// Toonie
Buying_1_ID 1057
Buying_1_Cost 20
// $5
Buying_2_ID 1051
Buying_2_Cost 50
// $10
Buying_3_ID 1052
Buying_3_Cost 100
// $20
Buying_4_ID 1053
Buying_4_Cost 200
// $50
Buying_5_ID 1054
Buying_5_Cost 500
// $100
Buying_6_ID 1055
Buying_6_Cost 1000

Selling 7
// Loonie
Selling_0_ID 1056
Selling_0_Cost 10
// Toonie
Selling_1_ID 1057
Selling_1_Cost 20
// $5
Selling_2_ID 1051
Selling_2_Cost 50
// $10
Selling_3_ID 1052
Selling_3_Cost 100
// $20
Selling_4_ID 1053
Selling_4_Cost 200
// $50
Selling_5_ID 1054
Selling_5_Cost 500
// $100
Selling_6_ID 1055
Selling_6_Cost 1000
