GUID e1bad118459a42d580d1968c646d7235
Type Vendor
ID 32801

Buying 9
// Mosin-Nagant
Buying_0_ID 24000
Buying_0_Cost 15
// Mosin-Clip
Buying_1_ID 24100
Buying_1_Cost 5
// SVT-40
Buying_2_ID 24001
Buying_2_Cost 25
// SVT-Mag
Buying_3_ID 24101
Buying_3_Cost 5
// PTRS-41
Buying_4_ID 24013
Buying_4_Cost 3000
// PTRS-Clip
Buying_5_ID 24113
Buying_5_Cost 75
// PzB 39
Buying_6_ID 24012
Buying_6_Cost 3000
// PzB Bullet
Buying_7_ID 24112
Buying_7_Cost 75
// Mosin-Nagant Scoped
Buying_8_ID 30000
Buying_8_Cost 300

Selling 8
// Kar98k
Selling_0_ID 24006
Selling_0_Cost 25
// Kar98k-Clip
Selling_1_ID 24106
Selling_1_Cost 5
// Gewehr 43
Selling_2_ID 24007
Selling_2_Cost 50
// Gewehr-Mag
Selling_3_ID 24107
Selling_3_Cost 10
// vz24
Selling_4_ID 27800
Selling_4_Cost 250
// vz24	 ammo
Selling_5_ID 27801
Selling_5_Cost 25
//m1941
Selling_6_ID 27802
Selling_6_Cost 1000
// m1941 ammo
Selling_7_ID 27803
Selling_7_Cost 25
