GUID ec8adf49162347ee8af16a0d6d24a70f
Type Vendor
ID 32804

Buying 3
// Detonator
Buying_0_ID 1240
Buying_0_Cost 875
// Camp-axe
Buying_1_ID 16
Buying_1_Cost 50
// Pickaxe
Buying_2_ID 1198
Buying_2_Cost 50

Selling 15
// Walkie
Selling_0_ID 1445
Selling_0_Cost 250
// Earpiece
Selling_1_ID 1446
Selling_1_Cost 250
// Sandbags
Selling_2_ID 365
Selling_2_Cost 10
// Tanktraps
Selling_3_ID 1227
Selling_3_Cost 15
// Caltrops
Selling_4_ID 382
Selling_4_Cost 20
// Barbed-wire
Selling_5_ID 386
Selling_5_Cost 25
// Mine
Selling_6_ID 1101
Selling_6_Cost 75
// Demo-charge
Selling_7_ID 1241
Selling_7_Cost 250
// Precision-charge
Selling_8_ID 1393
Selling_8_Cost 125
// Detonator
Selling_9_ID 1240
Selling_9_Cost 1500
// Ghillie-netting
Selling_10_ID 1396
Selling_10_Cost 25
// Camp-axe
Selling_11_ID 16
Selling_11_Cost 250
// Pickaxe
Selling_12_ID 1198
Selling_12_Cost 250
// Cloth
Selling_13_ID 66
Selling_13_Cost 4
// Blowtorch
Selling_14_ID 24022
Selling_14_Cost 250
