GUID 65c0bd959c8243e8a891577aab851dbd
Type Vendor
ID 32807

Buying 5
// Gaz-67
Buying_0_ID 29200
Buying_0_Cost 500
// Gaz-67-mg
Buying_1_ID 29201
Buying_1_Cost 600
// ZIS-5
Buying_2_ID 29202
Buying_2_Cost 800
// ZIS-42
Buying_3_ID 29203
Buying_3_Cost 2500
// Gaz-60
Buying_4_ID 29204
Buying_4_Cost 1500
//61-K
Buying_5_ID 29208
Buying_5_Cost 800
//M1937
Buying_6_ID 29209
Buying_6_Cost 800
//Harley D.
Buying_7_ID 29210
Buying_7_Cost 125
//^ but with sidecar  
Buying_8_ID 29211
Buying_8_Cost 250


Selling 9
// Kubelwagen
Selling_0_ID 29000
Selling_0_Cost 500
// Kubelwagen-mg
Selling_1_ID 29001
Selling_1_Cost 600
// Opel Blitz
Selling_2_ID 29002
Selling_2_Cost 900
// Sd.Kfz.6/2
Selling_3_ID 29003
Selling_3_Cost 3000
// Sd.Kfz 7
Selling_4_ID 29004
Selling_4_Cost 2000
//Flak38
Selling_5_ID 29008
Selling_5_Cost 1000
//Pak36  
Selling_6_ID 29009
Selling_6_Cost 1000
//BMW motorcycle  
Selling_7_ID 29010
Selling_7_Cost 150
//^ but with sidecar  
Selling_8_ID 29011
Selling_8_Cost 300
