GUID 5901383a-3f5f-46b9-a14d-7f6f37dd7af2
Type Vendor
ID 32808

Selling 9

// Pz - II 
Selling_0_ID 29005
Selling_0_Cost 2000

// Pz - III F
Selling_1_ID 29014
Selling_1_Cost 3000

// Pz - IV F2
Selling_2_ID 29006
Selling_2_Cost 3500

// Panther
Selling_3_ID 18940
Selling_3_Cost 4000

// Tiger - 1
Selling_4_ID 29007
Selling_4_Cost 5500

// Tiger - 2
Selling_5_ID 24500
Selling_5_Cost 8000

// Hetzer
Selling_6_ID 29016
Selling_6_Cost 3500

// Wirbelwind
Selling_7_ID 30050
Selling_7_Cost 5000

// Carro Armato P40
Selling_8_ID 42003
Selling_8_Cost 4000
