GUID 0350738f249d4a8188926a65df215de1
Type Vendor
ID 32810


Selling 13
// S-38 E-boat
Selling_0_ID 30169
Selling_0_Cost 1500

// Marinefahrprahm
Selling_1_ID 29102
Selling_1_Cost 500

// 1934 Class Destroyer
Selling_2_ID 29101
Selling_2_Cost 7500

// Akizuki artillery
Selling_3_ID 30081
Selling_3_Cost 10000

// leo
Selling_4_ID 30145
Selling_4_Cost 6500

// AR - 196 torpedo
Selling_5_ID 30166
Selling_5_Cost 6500

//R-301
Selling_6_ID 30172
Selling_6_Cost 3500

//Motorboat
Selling_7_ID 52022
Selling_7_Cost 3500

//corvette
Selling_8_ID 52023
Selling_8_Cost 4000

//tier1 dest
Selling_9_ID 52024
Selling_9_Cost 7000

//tier2 dest
Selling_10_ID 52025
Selling_10_Cost 9000

//cruiser
Selling_11_ID 52026
Selling_11_Cost 12000

//submarine
Selling_12_ID 52019
Selling_12_Cost 2000

// Selling Completed
