GUID d9b237ece0cf423ab6f96e8344f0a9d5
Type Vendor
ID 32830

Buying 8
// LMG-Clip
Buying_0_ID 40001
Buying_0_Cost 50
// 37mm-AC
Buying_1_ID 40201
Buying_1_Cost 5
// 20mm-AP-Clip
Buying_2_ID 40401
Buying_2_Cost 50
// 20mm-HE-Clip
Buying_3_ID 40402
Buying_3_Cost 60
// 75mm-AP-Shell
Buying_4_ID 40701
Buying_4_Cost 10
// 75mm-HE-Shell
Buying_5_ID 40702
Buying_5_Cost 15
// 88mm-AP-Shell
Buying_6_ID 40801
Buying_6_Cost 15
// 88mm-HE-Shell
Buying_7_ID 40802
Buying_7_Cost 20

Selling 8
// LMG-Clip
Selling_0_ID 40001
Selling_0_Cost 100
// 37mm-AC
Selling_1_ID 40201
Selling_1_Cost 300
// 20mm-AP-Clip
Selling_2_ID 40401
Selling_2_Cost 60
// 20mm-HE-Clip
Selling_3_ID 40402
Selling_3_Cost 80
// 76.2mm-AP-Shell
Selling_4_ID 40301
Selling_4_Cost 20
// 76.2mm-HE-Shell
Selling_5_ID 40302
Selling_5_Cost 25
// 37mm-AP-Shell
Selling_6_ID 40501
Selling_6_Cost 40
// 37mm-HE-Shell
Selling_7_ID 40502
Selling_7_Cost 45
