GUID fecd913d01514a4bb61453c309249512
Type Vendor
ID 32833

Buying 4
// Panzerschrek
Buying_0_ID 24015
Buying_0_Cost 5000
// detonator
Buying_1_ID 1240
Buying_1_Cost 500
// Panzerbüchse
Buying_2_ID 24012
Buying_2_Cost 1000



Selling 12
// M1 Bazooka
Selling_0_ID 24017
Selling_0_Cost 8000

// Detonator
Selling_1_ID 1240
Selling_1_Cost 1500

// mk ii grenade
Selling_2_ID 59553
Selling_2_Cost 70

// Rifle nade
Selling_3_ID 24200
Selling_3_Cost 100

// Ptrs
Selling_4_ID 24013
Selling_4_Cost 3000

// Ptrs mag
Selling_5_ID 24113
Selling_5_Cost 60

// Bazooka rocket
Selling_6_ID 24117
Selling_6_Cost 800

// Sticky nade
Selling_7_ID 41643
Selling_7_Cost 500

// M2A3 mine
Selling_8_ID 41647
Selling_8_Cost 190

// remote charge
Selling_9_ID 1241
Selling_9_Cost 250

// Fliegerfaust ammo
Selling_10_ID 24513
Selling_10_Cost 150

// Fliegerfaust capt
Selling_11_ID 24514
Selling_11_Cost 3000
