GUID d799062dffd44a86bfa63ef95d7b6465
Type Vendor
ID 32835

Buying 3
// Rag
Buying_0_ID 393
Buying_0_Cost 5
// Bandage
Buying_1_ID 95
Buying_1_Cost 10
// Bed-white
Buying_2_ID 294
Buying_2_Cost 10

Selling 9
// Dressing
Selling_0_ID 24301
Selling_0_Cost 10
// Splint
Selling_1_ID 96
Selling_1_Cost 15
// Medkit
Selling_2_ID 24300
Selling_2_Cost 110
// Bloodbag
Selling_3_ID 395
Selling_3_Cost 90
// Cough Syrup
Selling_4_ID 404
Selling_4_Cost 20
// Antibiotics
Selling_5_ID 389
Selling_5_Cost 35
// Vaccine
Selling_6_ID 269
Selling_6_Cost 150
// Morphine
Selling_7_ID 388
Selling_7_Cost 15
// White-bed
Selling_8_ID 294
Selling_8_Cost 15
