GUID c7b7da99861d4710b9d21f23359db581
Type Vendor
ID 32840


Selling 13
// G-5
Selling_0_ID 30174
Selling_0_Cost 1500

// Gnevny-Class-Destroyer
Selling_1_ID 29301
Selling_1_Cost 7500

// R tranpsort
Selling_2_ID 29302
Selling_2_Cost 500

//farragut
Selling_3_ID 30144
Selling_3_Cost 6500

//Fletcher artillery
Selling_4_ID 30080
Selling_4_Cost 10000

//navy dauntless torpedo
Selling_5_ID 30044
Selling_5_Cost 6500

//BMO
Selling_6_ID 30171
Selling_6_Cost 3500

//Motorboat
Selling_7_ID 30521
Selling_7_Cost 3500

//corvette
Selling_8_ID 30522
Selling_8_Cost 4000

//tier1 dest
Selling_9_ID 30523
Selling_9_Cost 7000

//tier2 dest
Selling_10_ID 30524
Selling_10_Cost 9000

//cruiser
Selling_11_ID 30525
Selling_11_Cost 12000

//carrier
Selling_12_ID 30526
Selling_12_Cost 20000
