GUID 5433bcaf74ba45a89431745c87ef0fd3
Type Vendor
ID 32820

Buying 5
// Scrap-metal
Buying_0_ID 67
Buying_0_Cost 5
// Birch-log
Buying_1_ID 37
Buying_1_Cost 1
// Maple-log
Buying_2_ID 39
Buying_2_Cost 3
// Pine-log
Buying_3_ID 41
Buying_3_Cost 4
// Gas-can
Buying_4_ID 28
Buying_4_Cost 200

Selling 13
// Gas-can
Selling_0_ID 28
Selling_0_Cost 250
// Battery
Selling_1_ID 1450
Selling_1_Cost 100
// Carjack
Selling_2_ID 277
Selling_2_Cost 200
// Tire
Selling_3_ID 1451
Selling_3_Cost 60
// Red-smoke
Selling_4_ID 266
Selling_4_Cost 25
// Green-smoke
Selling_5_ID 263
Selling_5_Cost 25
// White-smoke
Selling_6_ID 267
Selling_6_Cost 25
// Flashlight
Selling_7_ID 276
Selling_7_Cost 10
// Handcuffs
Selling_8_ID 1195
Selling_8_Cost 50
// Key
Selling_9_ID 1196
Selling_9_Cost 25
// low-Military-ammo
Selling_10_ID 43
Selling_10_Cost 20
// High-Military-ammo
Selling_11_ID 1192
Selling_11_Cost 25
// Civilian-ammo
Selling_12_ID 44
Selling_12_Cost 30
