Currency 27e039ef60d54fc69714c72d2c9582ba
Type Vendor
ID 42822

Selling 12
//M2 Light
Selling_0_ID 19630
Selling_0_Cost 7

//M10 Wolverine
Selling_1_ID 19638
Selling_1_Cost 10

//t-60
Selling_2_ID 29205
Selling_2_Cost 5

//M5 Stuart
Selling_3_ID 19631
Selling_3_Cost 12

//M4 Sherman
Selling_4_ID 19633
Selling_4_Cost 17

//Pershing
Selling_5_ID 19636
Selling_5_Cost 25

//Skink SPAAG
Selling_6_ID 30049
Selling_6_Cost 20

//churchill
Selling_7_ID 24501
Selling_7_Cost 25

//black prince
Selling_8_ID 24502
Selling_8_Cost 28

//M4 easy8
Selling_9_ID 18942
Selling_9_Cost 22

//M18 Hellcat
Selling_10_ID 19640
Selling_10_Cost 19

//M7 Priest
Selling_11_ID 19639
Selling_11_Cost 19
